eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
11,1980,12,0,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Maitland,-32.733664,151.557668,1,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,,Woolworth Store,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
12,1980,12,0,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Warilla,-34.547304,150.86172,1,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,,Woolworths Store,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
13,1980,12,17,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,1,Assassination,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Turkish Government,"Sarik Ariyak; 50, Engin Sever; 28/Turkish General and bodyguard",209,Turkey,,,,,,,,,,,,,,,,,Justice Commandos for the Armenian Genocide,,,,,,,0,,,0,2,,,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistol,2,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,1,1,1,
14,1980,12,24,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,,Woolworth's store,14,Australia,,,,,,,,,,,,,,,,,Extortionists,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,2,,,1,,,,"Damages: explosion, broken windows (store)",0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
15,1980,12,28,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Liverpool,-33.920019,150.924127,1,0,,,1,1,1,-9,,,0,0,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,,Woolworths store,14,Australia,,,,,,,,,,,,,,,,,Extortionists,,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
16,1981,11,16,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Government of Greece,"Consul-general to Australia, C. Giannaris",78,Greece,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,,,,,Stabbed,1,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
17,1982,12,23,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,Israeli Consulate (in Westfield Tower on William Street),97,Israel,,,,,,,,,,,,,,,,,Palestine Liberation Organization (PLO),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,3,,,1,,,,"Damages: explosion, damaged 3 floors of high rise building (consulate)",0,,,,,,,0,,,,,,,,,,,,,PGIS,1,1,1,1,
18,1982,12,23,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,82,Labor Union Related,,Hakvah Club (largest Jewish club in the city),14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,,,,"Damages: explosion, destroyed 2 cars",0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
19,1986,3,27,,0,,14,Australia,12,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,22,"Police Building (headquarters, station, school)",,police hdqtrs.,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,Explosive,0,,,21,,,1,,,,"Damages: explosion/car bomb, damaged facility (police headquarters)",0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
20,1986,11,23,,0,,14,Australia,12,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",,Turkish Consulate S. Yarra,209,Turkey,,,,,,,,,,,,,,,,,Greek Bulgarian Armenian Front,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,Car bomb,1,,1,1,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
21,1988,4,10,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,1,0,,,1,1,1,-9,,,0,1,0,2,Armed Assault,,,,,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",S. Africa State Dept,"Vehicle, Third Secy, S. Africa Embassy",183,South Africa,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,3,Minor (likely < $1 million),20000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
22,1988,7,18,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,1,Assassination,,,,,4,Military,35,Military Transportation/Vehicle (excluding convoys),U.S. Defense Attache,"Vehicle, Colonel Dean Stickwell",217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
23,1988,12,21,,0,,14,Australia,12,Australasia & Oceania,South Australia,Adelaide,-34.928726,138.599945,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Police,Police Car,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
24,1989,1,30,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,22,Violent Political Party,109,Party Official/Candidate/Other Personnel,African National Congress (ANC),Representative: Eddy Fundi,183,South Africa,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Shotgun,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
25,1989,10,27,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,-9,,,0,0,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",us state dept,"near home, embassy employee",217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary - discovered,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
26,1991,1,24,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Rooty Hill,-33.771222,150.844671,1,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,Rooty hill islamic center,Rooty hill islamic center,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
27,1991,2,19,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,Australian- American association bldg *,14,Australia,7,Government (Diplomatic),46,Embassy/Consulate,,Australian- American association bldg *,217,United States,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
28,1991,9,3,,0,,14,Australia,12,Australasia & Oceania,Western Australia,Perth,-31.952854,115.857339,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,govt,western australian govts lotteries commission hq,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
29,1991,9,3,,0,,14,Australia,12,Australasia & Oceania,Western Australia,Perth,-31.952854,115.857339,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,2,Restaurant/Bar/Caf?,corfil cafe,,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
30,1992,1,11,,0,,14,Australia,12,Australasia & Oceania,Queensland,Brisbane,-27.470933,153.023502,1,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46,Embassy/Consulate,U.S. State Dept,U.S. Consulate,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
31,1992,4,5,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,1,0,,,1,1,1,-9,,,0,1,0,9,Unknown,,,,,7,Government (Diplomatic),46,Embassy/Consulate,Iran State Dept,Iranian Embassy,94,Iran,,,,,,,,,,,,,,,,,Anti-Iran Government Exiles,,,,,,,0,,,0,15,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,3,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
32,1992,7,28,,0,,14,Australia,12,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,1,0,,,1,1,1,-9,,,0,0,0,2,Armed Assault,,,,,6,Airports & Aircraft,43,Airline Officer/Personnel,Ansett Airlines,Armored Van,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistol,1,,,1,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
33,1992,11,12,,0,,14,Australia,12,Australasia & Oceania,Northern Territory,Darwin,-12.46282,130.841769,1,0,,,1,1,1,-9,,,0,1,0,9,Unknown,,,,,7,Government (Diplomatic),46,Embassy/Consulate,Indonesia State Dept,Indonesian Consulate,93,Indonesia,,,,,,,,,,,,,,,,,East Timorese extremists,,,,,,,0,,,0,120,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,1,1,
34,1994,1,28,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46,Embassy/Consulate,Mexico State Sept.,Mexican Consulate,130,Mexico,,,,,,,,,,,,,,,,,Zapatista National Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,9,Melee,21,Blunt Object,8,Incendiary,,,,,,,,,,,Bricks; Incendiary,0,0,,0,0,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,1,1,
35,1994,3,2,,0,,14,Australia,12,Australasia & Oceania,,Adelaide,-34.928726,138.599945,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,National Crime Authority,Office,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,Package bomb,1,0,,5,0,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
36,1994,3,14,,0,,14,Australia,12,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,1,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,82,Labor Union Related,Unknown,Greek-Australian Organization,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,0,,0,0,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
37,1994,3,18,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,15,Religious Figures/Institutions,86,Place of Worship,Greek Orthodox Church,St. Efimias Greek Orthodox Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,0,,0,0,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
38,1994,3,25,,0,,14,Australia,12,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,1,0,,,1,1,1,-9,,,0,1,0,9,Unknown,,,,,7,Government (Diplomatic),46,Embassy/Consulate,Germany State Dept.,German Consulate,75,Germany,,,,,,,,,,,,,,,,,Kurds,,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,0,,0,0,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
39,1994,9,5,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,New South Wales State Labor PNP & Viet Vet,"John Newman, 49",14,Australia,,,,,,,,,,,,,,,,,U/I Asian Gang,,,,,,,1,,,0,,,,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Rifle - .22 caliber,0,0,,0,0,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
40,1994,9,19,,0,,14,Australia,12,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,1,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,113,Alleged Informant,Unknown,"Chan Yuk-Ng, Student & alleged police informant.",89,Hong Kong,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,Letter bomb,0,0,,1,0,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
41,1994,10,13,,0,,14,Australia,12,Australasia & Oceania,South Australia,Gawler,-34.59954,138.749141,1,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Unk,U/1  27 yr old man,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,Package bomb,1,,,2,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
42,1994,10,25,,1,10/26/1994,14,Australia,12,Australasia & Oceania,Western Australia,Perth,-31.952854,115.857339,1,0,,,1,1,1,-9,,,0,1,0,5,Hostage Taking (Barricade Incident),,,,,3,Police,22,"Police Building (headquarters, station, school)",Police Dept,Main Police Station,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,,,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,Handguns (2),1,,,0,,,1,,,,,1,1,0,0,1,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
43,1995,6,3,,0,,14,Australia,12,Australasia & Oceania,Queensland,Townsville,-19.257622,146.817879,1,0,,,1,1,1,-9,,,0,1,0,9,Unknown,,,,,14,Private Citizens & Property,80,Memorial/Cemetery/Monument,Aborigines,Grave Marker of Aboriginal Leader Eddie Mabo,14,Australia,,,,,,,,,,,,,,,,,Neo-Nazi extremists,,,,,,,1,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
44,1995,6,17,,0,,14,Australia,12,Australasia & Oceania,Western Australia,Perth,-31.952854,115.857339,1,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46,Embassy/Consulate,French State Dept.,French Consulate in Perth,69,France,,,,,,,,,,,,,,,,,Pacific Popular Front,,,,,,,0,,,0,2,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,
